"subject","focal","position","pos_num","x","x_lab","y","y_mc","manip_ok","comp","inv_app","inv_dl","inv_cat","x_brand","x_pop","x_rep","x_other_brand","x_other_rep","x_other_pop"
7975,"rep","second",2,0,"low",4,-0.046843177,1,1,1.004801097,1.306693989,1.519791667,0,1,0,0,NA,1
7975,"pop","third",3,1,"high",7,2.474541752,1,1,1.004801097,1.306693989,1.519791667,0,1,0,0,0,NA
7976,"pop","first",1,1,"high",6,1.474541752,0,0,0.004801097,-0.026639344,1.519791667,1,1,1,1,1,NA
7976,"brand","second",2,1,"high",7,2.032586558,1,1,0.004801097,-0.026639344,1.519791667,1,1,1,NA,1,1
7976,"rep","third",3,1,"high",4,-0.046843177,0,1,0.004801097,-0.026639344,1.519791667,1,1,1,1,NA,1
7977,"pop","first",1,1,"high",4,-0.525458248,1,0,-2.661865569,-1.026639344,0.144791667,1,1,1,1,1,NA
7977,"brand","second",2,1,"high",4,-0.967413442,0,1,-2.661865569,-1.026639344,0.144791667,1,1,1,NA,1,1
7977,"rep","third",3,1,"high",4,-0.046843177,0,1,-2.661865569,-1.026639344,0.144791667,1,1,1,1,NA,1
7978,"rep","first",1,1,"high",3,-1.046843177,1,0,-0.328532236,-0.359972678,-0.605208333,1,1,1,1,NA,1
7978,"brand","second",2,1,"high",5,0.032586558,0,1,-0.328532236,-0.359972678,-0.605208333,1,1,1,NA,1,1
7978,"pop","third",3,1,"high",2,-2.525458248,0,1,-0.328532236,-0.359972678,-0.605208333,1,1,1,1,1,NA
7979,"pop","first",1,1,"high",4,-0.525458248,1,0,0.004801097,1.973360656,-0.480208333,0,1,0,0,0,NA
7979,"brand","second",2,0,"low",4,-0.967413442,1,1,0.004801097,1.973360656,-0.480208333,0,1,0,NA,0,1
7979,"rep","third",3,0,"low",3,-1.046843177,1,1,0.004801097,1.973360656,-0.480208333,0,1,0,0,NA,1
7980,"pop","first",1,1,"high",6,1.474541752,0,0,0.338134431,-0.026639344,-0.605208333,0,1,0,0,0,NA
7980,"brand","second",2,0,"low",6,1.032586558,1,1,0.338134431,-0.026639344,-0.605208333,0,1,0,NA,0,1
7980,"rep","third",3,0,"low",5,0.953156823,1,1,0.338134431,-0.026639344,-0.605208333,0,1,0,0,NA,1
7981,"pop","first",1,0,"low",3,-1.525458248,1,0,1.338134431,-1.359972678,2.519791667,1,0,1,1,1,NA
7981,"brand","second",2,1,"high",1,-3.967413442,0,1,1.338134431,-1.359972678,2.519791667,1,0,1,NA,1,0
7981,"rep","third",3,1,"high",4,-0.046843177,1,1,1.338134431,-1.359972678,2.519791667,1,0,1,1,NA,0
7982,"rep","first",1,1,"high",7,2.953156823,1,0,0.671467764,-0.693306011,-0.105208333,1,0,1,1,NA,0
7982,"brand","second",2,1,"high",6,1.032586558,1,1,0.671467764,-0.693306011,-0.105208333,1,0,1,NA,1,0
7982,"pop","third",3,0,"low",6,1.474541752,1,1,0.671467764,-0.693306011,-0.105208333,1,0,1,1,1,NA
7983,"pop","first",1,0,"low",4,-0.525458248,1,0,0.671467764,0.306693989,1.519791667,1,0,0,1,0,NA
7983,"brand","second",2,1,"high",6,1.032586558,1,1,0.671467764,0.306693989,1.519791667,1,0,0,NA,0,0
7983,"rep","third",3,0,"low",2,-2.046843177,1,1,0.671467764,0.306693989,1.519791667,1,0,0,1,NA,0
7984,"brand","first",1,1,"high",6,1.032586558,1,0,-2.661865569,-0.026639344,0.894791667,1,0,1,NA,1,0
7984,"pop","second",2,0,"low",5,0.474541752,0,1,-2.661865569,-0.026639344,0.894791667,1,0,1,1,1,NA
7984,"rep","third",3,1,"high",3,-1.046843177,1,1,-2.661865569,-0.026639344,0.894791667,1,0,1,1,NA,0
7985,"pop","first",1,0,"low",7,2.474541752,1,0,0.338134431,-1.359972678,0.644791667,0,0,0,0,0,NA
7985,"brand","second",2,0,"low",6,1.032586558,1,1,0.338134431,-1.359972678,0.644791667,0,0,0,NA,0,0
7985,"rep","third",3,0,"low",3,-1.046843177,1,1,0.338134431,-1.359972678,0.644791667,0,0,0,0,NA,0
7987,"pop","first",1,0,"low",5,0.474541752,1,0,0.004801097,0.306693989,-0.230208333,0,0,0,0,0,NA
7987,"brand","second",2,0,"low",6,1.032586558,1,1,0.004801097,0.306693989,-0.230208333,0,0,0,NA,0,0
7987,"rep","third",3,0,"low",6,1.953156823,1,1,0.004801097,0.306693989,-0.230208333,0,0,0,0,NA,0
7988,"brand","first",1,0,"low",5,0.032586558,1,0,0.671467764,0.973360656,0.519791667,0,0,0,NA,0,0
7988,"pop","second",2,0,"low",6,1.474541752,1,1,0.671467764,0.973360656,0.519791667,0,0,0,0,0,NA
7988,"rep","third",3,0,"low",6,1.953156823,1,1,0.671467764,0.973360656,0.519791667,0,0,0,0,NA,0
7989,"brand","first",1,1,"high",6,1.032586558,1,0,1.338134431,-0.359972678,-1.980208333,1,1,0,NA,0,1
7989,"rep","second",2,0,"low",6,1.953156823,0,1,1.338134431,-0.359972678,-1.980208333,1,1,0,1,NA,1
7989,"pop","third",3,1,"high",6,1.474541752,0,1,1.338134431,-0.359972678,-1.980208333,1,1,0,1,0,NA
7990,"rep","first",1,0,"low",2,-2.046843177,1,0,-2.328532236,-0.693306011,-1.605208333,0,0,0,0,NA,0
7990,"brand","second",2,0,"low",5,0.032586558,0,1,-2.328532236,-0.693306011,-1.605208333,0,0,0,NA,0,0
7990,"pop","third",3,0,"low",6,1.474541752,1,1,-2.328532236,-0.693306011,-1.605208333,0,0,0,0,0,NA
