"model","term","estimate","se","statistic","p_value","n","r2","adj_r2","sig"
"M1_brand","inv_dl_mc",-0.0977841883585385,0.133493650503866,-0.732500669428516,0.465045441368083,153,0.288508834437215,0.254160985065218,""
"M1_brand","inv_cat_mc",-0.0418859670703311,0.156355556442358,-0.267889213683128,0.789165298294468,153,0.288508834437215,0.254160985065218,""
"M1_brand","x_brand:inv_app_mc",0.24103923247217,0.211838097274411,1.13784647602803,0.257061233239,153,0.288508834437215,0.254160985065218,""
"M1_brand","x_brand:inv_dl_mc",-0.033258204741117,0.17832254245229,-0.186505891424328,0.852308743045511,153,0.288508834437215,0.254160985065218,""
"M1_brand","x_brand:inv_cat_mc",0.400126125202105,0.230654326875117,1.73474363400408,0.0849111699425689,153,0.288508834437215,0.254160985065218,"*"
"M2_rep","(Intercept)",3.6915842807841,0.269511592452926,13.6973116710328,6.75475358409515e-30,196,0.187422040786331,0.138844010615948,"***"
"M2_rep","x_rep",1.3350735321581,0.411154385692608,3.24713435783765,0.00138538259769166,196,0.187422040786331,0.138844010615948,"***"
"M2_rep","x_brand",-0.301357554984812,0.313659132275475,-0.960780426823796,0.337923436157867,196,0.187422040786331,0.138844010615948,""
"M2_rep","x_pop",-0.216768338440328,0.313370661939567,-0.691731437457061,0.489977908453799,196,0.187422040786331,0.138844010615948,""
"M2_rep","inv_app_mc",-0.0198992577265113,0.15111022720769,-0.131687034651607,0.895375722794813,196,0.187422040786331,0.138844010615948,""
"M2_rep","inv_dl_mc",0.0495758748899766,0.115279796488898,0.430048251297449,0.667663777339704,196,0.187422040786331,0.138844010615948,""
"M2_rep","inv_cat_mc",0.120160471324661,0.142555331412734,0.842904085970426,0.400376449267832,196,0.187422040786331,0.138844010615948,""
"M2_rep","x_rep:x_brand",0.166029704898684,0.467383681499774,0.355232138969671,0.722822559790138,196,0.187422040786331,0.138844010615948,""
"M2_rep","x_rep:x_pop",-0.370776924094191,0.460662572258746,-0.804877466550358,0.421929186971965,196,0.187422040786331,0.138844010615948,""
"M2_rep","x_rep:inv_app_mc",0.286393797379353,0.22413730985232,1.27776048337536,0.202943614095197,196,0.187422040786331,0.138844010615948,""
"M2_rep","x_rep:inv_dl_mc",-0.149022316442478,0.178007342756254,-0.837169490511044,0.403583323908156,196,0.187422040786331,0.138844010615948,""
"M2_rep","x_rep:inv_cat_mc",0.185336168041456,0.211380606751746,0.876788892271101,0.381744602715175,196,0.187422040786331,0.138844010615948,""
"M2_pop","(Intercept)",4.14836867788778,0.305272599536265,13.5890632968354,8.68484345804445e-27,143,0.141654527015891,0.0695797163073013,"***"
