"model","term","estimate","se","p_value","p_holm","p_bh"
"M3_pop","x_pop:comp_pop",-0.398365251032872,0.278461738479631,0.153196361950928,1,0.376027433879551
"M3_rep","x_rep:inv_cat_mc",0.200011397233514,0.142550866521994,0.161235797227161,1,0.38412057574706
"M2_pop","x_pop:x_rep",-0.743727023284607,0.539234699138088,0.170174908614994,1,0.393833359937558
"M1_rep","inv_dl_mc",-0.212220292501453,0.156735708856849,0.177902262966357,1,0.400280091674303
"M2_brand","x_brand:x_pop",-0.676552759227867,0.511096912069673,0.187751170809882,1,0.411022833394606
"M2_rep","x_rep:inv_app_mc",0.286393797379354,0.22413730985232,0.202943614095196,1,0.432590335308181
"M3_brand","x_brand:inv_cat_mc",0.158655325053104,0.128398616407502,0.217193059826064,1,0.451093278100287
"M2_pop","x_pop",0.53396672975578,0.468003779915843,0.255974156552424,1,0.507852680301435
"M1_brand","x_brand:inv_app_mc",0.241039232472171,0.211838097274411,0.257061233238998,1,0.507852680301435
"M2_brand","x_pop",0.406844636064689,0.363069656822492,0.264389888388497,1,0.509894784749244
"M3_pop","inv_app_mc",0.101919018433686,0.0944566691502091,0.281127215338671,1,0.525212023426438
"M3_rep","inv_cat_mc",0.10636427497887,0.0994357055354395,0.285300358404485,1,0.525212023426438
"M2_brand","inv_app_mc",-0.188447891791228,0.183269274575404,0.305602262228638,1,0.550084072011548
"M2_rep","x_brand",-0.301357554984814,0.313659132275475,0.337923436157865,1,0.595039094104067
"M2_pop","inv_app_mc",-0.184006594106433,0.202033219239056,0.364087319482129,1,0.627469635703244
"M3_brand","inv_app_mc",0.0830302852745431,0.0935845675307026,0.37540279983416,1,0.628658639164624
"M2_rep","x_rep:inv_cat_mc",0.185336168041456,0.211380606751746,0.381744602715174,1,0.628658639164624
"M3_pop","x_pop:inv_cat_mc",-0.111385592840649,0.130354889178613,0.393264683390465,1,0.628658639164624
"M2_rep","inv_cat_mc",0.120160471324661,0.142555331412734,0.400376449267833,1,0.628658639164624
"M2_rep","x_rep:inv_dl_mc",-0.149022316442478,0.178007342756254,0.403583323908154,1,0.628658639164624
"M1_rep","x_rep:inv_app_mc",0.217204402286096,0.267548035835397,0.418255717254913,1,0.631247392794302
"M2_rep","x_rep:x_pop",-0.370776924094191,0.460662572258747,0.421929186971966,1,0.631247392794302
"M2_brand","x_rep",-0.285979714201706,0.360242863611198,0.42862477288502,1,0.631247392794302
"M3_brand","inv_cat_mc",0.0670971694689352,0.0893943849214749,0.453275620566711,1,0.655630808319707
"M1_brand","inv_dl_mc",-0.0977841883585382,0.133493650503866,0.465045441368084,1,0.660854048259909
"M2_pop","x_pop:x_brand",0.391589871675666,0.546477475585015,0.47491444883187,1,0.663242592334163
"M2_rep","x_pop",-0.216768338440328,0.313370661939567,0.489977908453799,1,0.672681535334877
"M2_pop","x_rep",0.25362444486292,0.377421649736497,0.50277202070688,1,0.678742227954288
"M1_pop","x_pop:inv_dl_mc",0.103271992385554,0.16632704587802,0.535448368070432,1,0.711005210060737
"M1_rep","inv_app_mc",0.0950168753478589,0.176581695124127,0.591363157035812,1,0.77258735032098
"M2_brand","x_brand:x_rep",0.251012672577242,0.50720528478028,0.621450980359931,1,0.786703822326717
"M2_pop","x_brand",-0.185983997839828,0.375901936815318,0.621593143566789,1,0.786703822326717
"M2_rep","inv_dl_mc",0.0495758748899767,0.115279796488898,0.667663777339703,1,0.832011784069476
"M1_rep","x_rep:inv_cat_mc",-0.106427391361241,0.274858401401781,0.699185999357473,1,0.848530831057986
"M2_pop","x_pop:inv_dl_mc",0.0856797345943114,0.224369772494611,0.703177687446168,1,0.848530831057986
"M2_brand","x_brand:inv_dl_mc",-0.0715117503189533,0.19377588137641,0.712652755957471,1,0.848530831057986
"M2_rep","x_rep:x_brand",0.166029704898686,0.467383681499774,0.722822559790136,1,0.848530831057986
"M1_pop","x_pop:inv_cat_mc",0.0654525934837388,0.200508195501392,0.744473530610951,1,0.861462228278386
"M3_rep","inv_app_mc",-0.0287408873535834,0.0991684693084042,0.772079750400272,1,0.879896120621992
"M1_brand","inv_cat_mc",-0.0418859670703309,0.156355556442358,0.789165298294469,1,0.879896120621992
