lfdn,inv_app,inv_dl,inv_cat,y_rep_1,x_rep,man_check_rep,inv_app_mc,inv_dl_mc,inv_cat_mc
8350,5.333333333,4.333333333,3.25,4,0,1,0.004801097,-0.359972678,-1.230208333
8351,2.666666667,3.666666667,1.875,4,1,1,-2.661865569,-1.026639344,-2.605208333
8352,5.666666667,4.333333333,5.5,7,1,0,0.338134431,-0.359972678,1.019791667
8357,3.666666667,6,4.625,3,0,1,-1.661865569,1.306693989,0.144791667
8358,5.666666667,3,5.25,5,0,0,0.338134431,-1.693306011,0.769791667
8359,5.666666667,4.333333333,5.25,5,1,1,0.338134431,-0.359972678,0.769791667
8369,5.666666667,5.666666667,2.875,3,1,0,0.338134431,0.973360656,-1.605208333
8373,4.666666667,4,5.125,1,0,0,-0.661865569,-0.693306011,0.644791667
8377,5.333333333,2.333333333,5.125,5,0,1,0.004801097,-2.359972678,0.644791667
8380,5.666666667,3,4.5,4,0,1,0.338134431,-1.693306011,0.019791667
8386,4.333333333,4.666666667,3.25,6,1,1,-0.995198903,-0.026639344,-1.230208333
8394,6.333333333,6.333333333,6.375,4,0,0,1.004801097,1.640027322,1.894791667
8403,4.333333333,5,3.875,4,1,1,-0.995198903,0.306693989,-0.605208333
8404,7,6,5.375,5,0,1,1.671467764,1.306693989,0.894791667
8415,6.333333333,5.666666667,4,4,1,0,1.004801097,0.973360656,-0.480208333
8423,3.666666667,3.333333333,3,4,1,1,-1.661865569,-1.359972678,-1.480208333
8425,7,4,5,6,1,1,1.671467764,-0.693306011,0.519791667
8429,6,5.666666667,4.125,5,0,0,0.671467764,0.973360656,-0.355208333
8439,7,4,4.625,2,0,1,1.671467764,-0.693306011,0.144791667
8440,6.333333333,5.333333333,5.375,5,1,1,1.004801097,0.640027322,0.894791667
8442,7,6.666666667,4.75,4,0,1,1.671467764,1.973360656,0.269791667
8451,5.333333333,3,5,5,1,1,0.004801097,-1.693306011,0.519791667
8453,6,4.666666667,4.625,5,0,1,0.671467764,-0.026639344,0.144791667
8456,6.666666667,3.666666667,4.875,6,0,1,1.338134431,-1.026639344,0.394791667
8461,7,7,6.625,6,0,0,1.671467764,2.306693989,2.144791667
8465,5.666666667,3.333333333,5,5,1,1,0.338134431,-1.359972678,0.519791667
8466,6.333333333,3,5.375,2,1,1,1.004801097,-1.693306011,0.894791667
8467,6,5.666666667,5,7,1,1,0.671467764,0.973360656,0.519791667
8471,4.333333333,3.666666667,4.125,3,0,1,-0.995198903,-1.026639344,-0.355208333
8473,6.333333333,7,3.25,5,1,1,1.004801097,2.306693989,-1.230208333
8477,4.333333333,3.666666667,4,5,0,1,-0.995198903,-1.026639344,-0.480208333
8479,7,5.666666667,5,2,0,1,1.671467764,0.973360656,0.519791667
8480,6.333333333,5.666666667,3.75,5,0,1,1.004801097,0.973360656,-0.730208333
8481,7,7,6.375,7,1,0,1.671467764,2.306693989,1.894791667
8483,4.333333333,5.333333333,4.375,6,1,1,-0.995198903,0.640027322,-0.105208333
8492,6.666666667,5.666666667,3.875,5,1,1,1.338134431,0.973360656,-0.605208333
8496,7,6,5.625,3,0,1,1.671467764,1.306693989,1.144791667
8499,5.333333333,3.333333333,4.5,6,1,1,0.004801097,-1.359972678,0.019791667
