lfdn,i,y_i,x_i,man_check_i,inv_app_mc,inv_dl_mc,inv_cat_mc,n,y_i_mc,i_name
8205,1,6,0,1,1.004801097,-0.026639344,0.019791667,1,1.953156823,rep
8206,1,5,1,1,0.338134431,-0.693306011,-0.355208333,1,0.953156823,rep
8207,1,7,1,1,0.338134431,-0.026639344,-0.230208333,3,2.953156823,rep
8208,1,1,0,1,1.338134431,-0.359972678,-0.230208333,3,-3.046843177,rep
8209,1,2,0,1,0.671467764,-0.026639344,0.894791667,2,-2.046843177,rep
8210,1,5,0,1,-0.328532236,0.306693989,-0.230208333,1,0.953156823,rep
8211,1,2,1,1,-0.661865569,-1.693306011,-0.730208333,1,-2.046843177,rep
8212,1,6,1,1,-0.328532236,-1.693306011,0.019791667,1,1.953156823,rep
8213,1,5,1,0,-0.661865569,-1.359972678,-0.855208333,2,0.953156823,rep
8214,1,5,1,1,1.671467764,-2.693306011,1.644791667,3,0.953156823,rep
8215,1,3,0,1,0.671467764,-1.026639344,-0.105208333,3,-1.046843177,rep
8216,1,5,1,0,1.004801097,-1.026639344,0.519791667,3,0.953156823,rep
8217,1,7,1,0,1.671467764,0.306693989,1.019791667,3,2.953156823,rep
8219,1,5,0,1,-0.995198903,-1.026639344,-0.105208333,1,0.953156823,rep
8220,1,6,1,1,1.338134431,0.306693989,2.144791667,2,1.953156823,rep
8221,1,2,1,1,-5.328532236,-0.026639344,-1.480208333,1,-2.046843177,rep
8222,1,4,1,0,0.671467764,0.640027322,0.269791667,3,-0.046843177,rep
8223,1,6,1,1,0.004801097,-1.026639344,-0.230208333,2,1.953156823,rep
8224,1,1,0,0,-0.661865569,1.306693989,1.894791667,2,-3.046843177,rep
8225,1,6,1,1,-1.328532236,-2.693306011,0.519791667,3,1.953156823,rep
8226,1,2,0,1,0.671467764,0.640027322,0.144791667,3,-2.046843177,rep
8227,1,3,0,1,0.671467764,-2.359972678,-1.605208333,1,-1.046843177,rep
8228,1,6,1,1,-1.328532236,1.973360656,0.769791667,1,1.953156823,rep
8229,1,5,1,1,0.004801097,-1.359972678,-1.105208333,3,0.953156823,rep
8230,1,5,1,1,1.004801097,0.640027322,1.019791667,1,0.953156823,rep
8231,1,2,1,1,0.004801097,-0.026639344,0.019791667,2,-2.046843177,rep
8232,1,2,0,1,-1.661865569,-0.359972678,0.769791667,3,-2.046843177,rep
8233,1,4,0,0,1.671467764,0.306693989,0.269791667,2,-0.046843177,rep
8234,1,3,0,0,1.671467764,2.306693989,-1.480208333,2,-1.046843177,rep
8236,1,4,0,0,1.004801097,-1.693306011,-0.730208333,1,-0.046843177,rep
8237,1,1,0,1,0.338134431,-1.026639344,0.269791667,3,-3.046843177,rep
8238,1,5,1,0,-0.661865569,0.306693989,-0.355208333,1,0.953156823,rep
8239,1,4,0,0,1.004801097,0.973360656,1.269791667,2,-0.046843177,rep
8240,1,5,1,1,0.338134431,2.306693989,0.144791667,1,0.953156823,rep
8241,1,3,0,1,-0.661865569,-0.359972678,-4.480208333,3,-1.046843177,rep
8243,1,7,0,1,-2.328532236,1.306693989,0.394791667,2,2.953156823,rep
8244,1,5,1,1,-1.328532236,-0.026639344,-0.980208333,2,0.953156823,rep
8245,1,4,1,0,-0.995198903,-1.359972678,0.144791667,1,-0.046843177,rep
8246,1,7,1,1,1.004801097,0.640027322,-4.480208333,1,2.953156823,rep
8247,1,5,1,1,1.338134431,1.306693989,0.894791667,2,0.953156823,rep
8248,1,1,0,1,1.671467764,1.640027322,2.394791667,2,-3.046843177,rep
8249,1,7,0,0,-0.661865569,-0.359972678,1.144791667,3,2.953156823,rep
8250,1,6,0,0,0.338134431,-2.359972678,-0.355208333,1,1.953156823,rep
8251,1,2,0,1,1.004801097,-2.026639344,-0.855208333,3,-2.046843177,rep
8252,1,4,1,1,-1.328532236,1.306693989,-0.605208333,1,-0.046843177,rep
8253,1,6,0,0,-2.328532236,-0.026639344,0.019791667,2,1.953156823,rep
8254,1,2,1,1,1.338134431,-0.359972678,-3.105208333,3,-2.046843177,rep
8255,1,5,0,1,-0.328532236,-0.026639344,0.144791667,2,0.953156823,rep
8256,1,7,0,0,-1.661865569,-0.693306011,-0.480208333,3,2.953156823,rep
8257,1,4,0,0,0.004801097,0.973360656,1.019791667,2,-0.046843177,rep
8259,1,2,0,0,0.338134431,1.973360656,-1.355208333,1,-2.046843177,rep
8260,1,2,0,1,0.338134431,-0.359972678,-2.730208333,3,-2.046843177,rep
8261,1,6,0,1,-0.328532236,0.306693989,0.894791667,2,1.953156823,rep
8262,1,5,1,1,-1.661865569,-0.693306011,-0.105208333,2,0.953156823,rep
8263,1,4,1,1,0.671467764,-1.359972678,-0.480208333,3,-0.046843177,rep
8264,1,5,1,1,1.671467764,2.306693989,1.394791667,1,0.953156823,rep
8265,1,4,0,0,-1.995198903,1.306693989,-0.355208333,3,-0.046843177,rep
8266,1,6,0,1,-3.661865569,-0.693306011,0.144791667,1,1.953156823,rep
8267,1,2,0,1,0.338134431,1.640027322,-4.480208333,2,-2.046843177,rep
8268,1,2,0,1,1.338134431,0.306693989,-0.355208333,3,-2.046843177,rep
8269,1,3,1,1,1.004801097,1.640027322,0.019791667,2,-1.046843177,rep
8270,1,4,0,1,1.004801097,0.306693989,-0.730208333,2,-0.046843177,rep
8271,1,1,0,1,0.671467764,2.306693989,2.519791667,3,-3.046843177,rep
8272,1,4,1,1,0.338134431,-3.693306011,-0.355208333,2,-0.046843177,rep
8273,1,5,1,0,0.338134431,0.306693989,0.019791667,2,0.953156823,rep
8274,1,5,0,1,-1.661865569,-0.026639344,0.894791667,1,0.953156823,rep
8275,1,4,0,1,1.004801097,1.306693989,1.644791667,1,-0.046843177,rep
8276,1,5,1,1,0.338134431,0.306693989,-1.105208333,3,0.953156823,rep
8278,1,4,0,1,1.004801097,-0.359972678,-4.480208333,2,-0.046843177,rep
8279,1,2,0,1,0.338134431,-1.026639344,-0.230208333,3,-2.046843177,rep
8281,1,4,0,1,-1.328532236,0.640027322,0.394791667,1,-0.046843177,rep
8282,1,3,0,1,0.004801097,-1.026639344,-1.730208333,3,-1.046843177,rep
8283,1,4,1,1,-0.661865569,-1.026639344,-1.105208333,3,-0.046843177,rep
8284,1,2,0,1,-1.328532236,1.306693989,-0.480208333,1,-2.046843177,rep
8285,1,6,0,1,0.671467764,2.306693989,-0.480208333,2,1.953156823,rep
8287,1,2,0,0,1.004801097,-2.026639344,-2.230208333,1,-2.046843177,rep
8288,1,5,1,1,1.004801097,-1.693306011,1.019791667,2,0.953156823,rep
8289,1,3,0,1,1.671467764,1.306693989,-4.480208333,1,-1.046843177,rep
8290,1,1,0,1,0.671467764,1.973360656,-0.355208333,2,-3.046843177,rep
8291,1,2,0,1,1.671467764,2.306693989,-0.480208333,3,-2.046843177,rep
