lfdn,inv_app,inv_dl,inv_cat,y_pop_1,x_pop,man_check_pop,inv_app_mc,inv_dl_mc,inv_cat_mc
8363,5,5,3.75,7,1,0,-0.328532236,0.306693989,-0.730208333
8364,6,3.666666667,3.25,3,0,0,0.671467764,-1.026639344,-1.230208333
8366,6,3,5.875,5,0,0,0.671467764,-1.693306011,1.394791667
8367,7,7,7,7,1,1,1.671467764,2.306693989,2.519791667
8368,5.333333333,4,3.625,6,0,1,0.004801097,-0.693306011,-0.855208333
8372,6.666666667,6.666666667,3,6,0,1,1.338134431,1.973360656,-1.480208333
8375,2.333333333,7,1,1,1,0,-2.995198903,2.306693989,-3.480208333
8376,5,4.693306011,6.375,4,0,1,-0.328532236,7.1041E-11,1.894791667
8381,4.333333333,5,5,4,0,0,-0.995198903,0.306693989,0.519791667
8382,6,4,3.875,4,0,0,0.671467764,-0.693306011,-0.605208333
8383,5.333333333,4.666666667,5,6,0,1,0.004801097,-0.026639344,0.519791667
8384,7,7,6.625,7,0,1,1.671467764,2.306693989,2.144791667
8387,4.666666667,6,2.875,4,0,0,-0.661865569,1.306693989,-1.605208333
8389,3.666666667,6.666666667,4.480208333,4,0,0,-1.661865569,1.973360656,-3.33333E-10
8390,6.333333333,2.666666667,5,6,0,1,1.004801097,-2.026639344,0.519791667
8392,6,1.666666667,5.125,5,1,1,0.671467764,-3.026639344,0.644791667
8393,5,5.333333333,5.125,5,1,1,-0.328532236,0.640027322,0.644791667
8396,5,5,4.5,3,0,1,-0.328532236,0.306693989,0.019791667
8397,7,5,4,7,0,1,1.671467764,0.306693989,-0.480208333
8398,5.666666667,3,4.375,6,0,0,0.338134431,-1.693306011,-0.105208333
8399,4.333333333,4.693306011,4.125,6,0,1,-0.995198903,7.1041E-11,-0.355208333
8401,4,7,2.125,1,0,0,-1.328532236,2.306693989,-2.355208333
8402,6,6,5.625,5,1,0,0.671467764,1.306693989,1.144791667
8405,5.333333333,4.333333333,5.875,7,1,1,0.004801097,-0.359972678,1.394791667
8406,6.666666667,5.666666667,4.25,4,0,1,1.338134431,0.973360656,-0.230208333
8407,4.666666667,3.666666667,4.375,5,1,0,-0.661865569,-1.026639344,-0.105208333
8408,6,2.333333333,4.75,5,0,0,0.671467764,-2.359972678,0.269791667
8409,4.666666667,5,4,4,1,1,-0.661865569,0.306693989,-0.480208333
8410,6.333333333,5,5.375,5,0,1,1.004801097,0.306693989,0.894791667
8412,6,5.333333333,5.5,7,0,1,0.671467764,0.640027322,1.019791667
8414,6.333333333,7,5.25,6,1,1,1.004801097,2.306693989,0.769791667
8419,4,4.333333333,4.25,5,0,1,-1.328532236,-0.359972678,-0.230208333
8430,6,4,3.75,7,1,1,0.671467764,-0.693306011,-0.730208333
8431,5,5.333333333,6.625,5,1,0,-0.328532236,0.640027322,2.144791667
8443,6.666666667,7,6.5,6,1,1,1.338134431,2.306693989,2.019791667
8444,5.333333333,3.333333333,4,4,1,0,0.004801097,-1.359972678,-0.480208333
8447,4.666666667,5,5.25,1,0,1,-0.661865569,0.306693989,0.769791667
8449,5.333333333,6.666666667,4.75,6,0,1,0.004801097,1.973360656,0.269791667
8452,5,4,3.5,7,1,1,-0.328532236,-0.693306011,-0.980208333
8457,6,3.666666667,5.875,6,1,1,0.671467764,-1.026639344,1.394791667
8458,6,5.666666667,4,7,1,1,0.671467764,0.973360656,-0.480208333
8459,7,7,5.375,5,1,0,1.671467764,2.306693989,0.894791667
8460,6,4.333333333,5.75,6,1,1,0.671467764,-0.359972678,1.269791667
8464,4.666666667,5.333333333,5.125,6,0,1,-0.661865569,0.640027322,0.644791667
8468,6.666666667,5.333333333,5.125,7,1,1,1.338134431,0.640027322,0.644791667
8469,5.666666667,5,4.480208333,2,0,1,0.338134431,0.306693989,-3.33333E-10
8470,6,6,4.625,5,0,0,0.671467764,1.306693989,0.144791667
8472,5.333333333,3.333333333,4.25,4,1,0,0.004801097,-1.359972678,-0.230208333
8485,5,6,4.25,4,0,1,-0.328532236,1.306693989,-0.230208333
8487,5.333333333,5.333333333,4.75,4,0,1,0.004801097,0.640027322,0.269791667
8488,6.333333333,7,4.375,4,0,0,1.004801097,2.306693989,-0.105208333
8489,5.333333333,6.666666667,4.875,6,1,1,0.004801097,1.973360656,0.394791667
8491,4,2.333333333,5.5,5,1,0,-1.328532236,-2.359972678,1.019791667
8493,5.333333333,4.333333333,3.125,5,1,1,0.004801097,-0.359972678,-1.355208333
8497,6.333333333,6,6.125,6,0,1,1.004801097,1.306693989,1.644791667
8498,5,7,5.375,1,1,0,-0.328532236,2.306693989,0.894791667
