lfdn,inv_app,inv_dl,inv_cat,y_brand_1,x_brand,man_check_brand,inv_app_mc,inv_dl_mc,inv_cat_mc
8201,4,5.666666667,5,7,1,1,-1.328532236,0.973360656,0.519791667
8202,4,4.666666667,4.125,5,0,0,-1.328532236,-0.026639344,-0.355208333
8215,6,3.666666667,4.375,4,0,0,0.671467764,-1.026639344,-0.105208333
8220,6.666666667,5,6.625,5,0,1,1.338134431,0.306693989,2.144791667
8223,5.333333333,3.666666667,4.25,3,1,1,0.004801097,-1.026639344,-0.230208333
8224,4.666666667,6,6.375,1,0,1,-0.661865569,1.306693989,1.894791667
8231,5.333333333,4.666666667,4.5,2,0,1,0.004801097,-0.026639344,0.019791667
8234,7,7,3,3,1,1,1.671467764,2.306693989,-1.480208333
8244,4,4.666666667,3.5,6,1,0,-1.328532236,-0.026639344,-0.980208333
8247,6.666666667,6,5.375,6,0,1,1.338134431,1.306693989,0.894791667
8254,6.666666667,4.333333333,1.375,2,0,1,1.338134431,-0.359972678,-3.105208333
8255,5,4.666666667,4.625,5,1,0,-0.328532236,-0.026639344,0.144791667
8261,5,5,5.375,5,0,1,-0.328532236,0.306693989,0.894791667
8262,3.666666667,4,4.375,5,0,0,-1.661865569,-0.693306011,-0.105208333
8263,6,3.333333333,4,7,1,1,0.671467764,-1.359972678,-0.480208333
8265,3.333333333,6,4.125,4,0,1,-1.995198903,1.306693989,-0.355208333
8267,5.666666667,6.333333333,4.480208333,3,0,0,0.338134431,1.640027322,-3.33333E-10
8268,6.666666667,5,4.125,5,0,1,1.338134431,0.306693989,-0.355208333
8270,6.333333333,5,3.75,6,1,1,1.004801097,0.306693989,-0.730208333
8276,5.666666667,5,3.375,5,1,1,0.338134431,0.306693989,-1.105208333
8278,6.333333333,4.333333333,4.480208333,4,0,0,1.004801097,-0.359972678,-3.33333E-10
8279,5.666666667,3.666666667,4.25,5,0,1,0.338134431,-1.026639344,-0.230208333
8282,5.333333333,3.666666667,2.75,5,1,1,0.004801097,-1.026639344,-1.730208333
8288,6.333333333,3,5.5,4,0,1,1.004801097,-1.693306011,1.019791667
8290,6,6.666666667,4.125,6,1,1,0.671467764,1.973360656,-0.355208333
8291,7,7,4,4,0,0,1.671467764,2.306693989,-0.480208333
8295,5.666666667,6,2.375,1,0,1,0.338134431,1.306693989,-2.105208333
8296,6.666666667,5,4.125,6,1,1,1.338134431,0.306693989,-0.355208333
8308,5.666666667,5,1.875,7,0,0,0.338134431,0.306693989,-2.605208333
8309,5.666666667,6.333333333,6.5,6,1,0,0.338134431,1.640027322,2.019791667
8316,2.333333333,2,5,1,0,0,-2.995198903,-2.693306011,0.519791667
8319,3.666666667,5.333333333,4.5,4,1,0,-1.661865569,0.640027322,0.019791667
8320,6.666666667,5.666666667,6.5,5,0,1,1.338134431,0.973360656,2.019791667
8323,6.666666667,6,5.625,6,1,0,1.338134431,1.306693989,1.144791667
8325,7,4.333333333,5.75,5,0,1,1.671467764,-0.359972678,1.269791667
8327,5.333333333,5.666666667,5,4,0,1,0.004801097,0.973360656,0.519791667
8328,3.333333333,4.333333333,4.625,6,1,0,-1.995198903,-0.359972678,0.144791667
8330,5,5,4.125,5,1,1,-0.328532236,0.306693989,-0.355208333
8337,4.333333333,4,3.125,4,1,1,-0.995198903,-0.693306011,-1.355208333
8339,6.333333333,3,5,7,1,1,1.004801097,-1.693306011,0.519791667
8343,6,5.666666667,5.875,5,0,1,0.671467764,0.973360656,1.394791667
8344,7,5.666666667,4.480208333,7,0,0,1.671467764,0.973360656,-3.33333E-10
8348,4,6,4.125,1,0,0,-1.328532236,1.306693989,-0.355208333
8353,5.333333333,5,3.875,7,0,0,0.004801097,0.306693989,-0.605208333
8356,4.666666667,2.666666667,4.25,5,1,0,-0.661865569,-2.026639344,-0.230208333
8371,6.333333333,4,4.125,6,1,1,1.004801097,-0.693306011,-0.355208333
8374,4.666666667,3,3.75,4,1,1,-0.661865569,-1.693306011,-0.730208333
8378,5,6,6.125,6,1,0,-0.328532236,1.306693989,1.644791667
8379,6,5.666666667,5.5,6,1,1,0.671467764,0.973360656,1.019791667
