lfdn,inv_app,inv_dl,inv_cat,y_rep_1e2,x_rep,y_pop_1e2,x_pop,y_brand_3,x_brand,man_check_brand,inv_app_mc,inv_dl_mc,inv_cat_mc,ITD_rep,ITD_pop,ITD_rep_2,ITD_pop_2
8389,3.666666667,6.666666667,4.480208333,4,0,4,0,4,1,1,-1.661865569,1.973360656,-3.33E-10,0,0,-0.046843177,-0.525458248
8392,6,1.666666667,5.125,6,1,5,1,6,1,0,0.671467764,-3.026639344,0.644791667,1,1,1.953156823,0.474541752
8394,6.333333333,6.333333333,6.375,4,0,2,1,4,0,0,1.004801097,1.640027322,1.894791667,0,0,-0.046843177,-2.525458248
8398,5.666666667,3,4.375,5,0,6,0,7,1,1,0.338134431,-1.693306011,-0.105208333,1,1,0.953156823,1.474541752
8403,4.333333333,5,3.875,4,1,4,0,4,0,0,-0.995198903,0.306693989,-0.605208333,0,0,-0.046843177,-0.525458248
8407,4.666666667,3.666666667,4.375,4,1,5,1,6,0,0,-0.661865569,-1.026639344,-0.105208333,0,1,-0.046843177,0.474541752
8408,6,2.333333333,4.75,2,1,5,0,3,0,1,0.671467764,-2.359972678,0.269791667,0,1,-2.046843177,0.474541752
8409,4.666666667,5,4,4,0,4,1,4,0,1,-0.661865569,0.306693989,-0.480208333,0,0,-0.046843177,-0.525458248
8410,6.333333333,5,5.375,6,0,5,0,4,0,0,1.004801097,0.306693989,0.894791667,1,1,1.953156823,0.474541752
8414,6.333333333,7,5.25,6,1,6,1,7,1,0,1.004801097,2.306693989,0.769791667,1,1,1.953156823,1.474541752
8415,6.333333333,5.666666667,4,4,1,2,1,2,1,0,1.004801097,0.973360656,-0.480208333,0,0,-0.046843177,-2.525458248
8419,4,4.333333333,4.25,5,1,5,0,4,0,0,-1.328532236,-0.359972678,-0.230208333,1,1,0.953156823,0.474541752
8423,3.666666667,3.333333333,3,4,1,4,0,4,0,0,-1.661865569,-1.359972678,-1.480208333,0,0,-0.046843177,-0.525458248
