lfdn,inv_app,inv_dl,inv_cat,y_rep_1e2,x_rep,y_pop_3,x_pop,man_check_pop,y_brand_1e2,x_brand,inv_app_mc,inv_dl_mc,inv_cat_mc,ITD_rep,ITD_brand,ITD_rep_2,ITD_brand_2
8454,4,4,4.75,6,1,7,1,1,7,1,-1.328532236,-0.693306011,0.269791667,1,1,1.953156823,2.032586558
8455,5.666666667,6.666666667,3.125,4,1,5,0,0,4,0,0.338134431,1.973360656,-1.355208333,0,0,-0.046843177,-0.967413442
8456,6.666666667,3.666666667,4.875,6,0,7,1,1,7,1,1.338134431,-1.026639344,0.394791667,1,1,1.953156823,2.032586558
8465,5.666666667,3.333333333,5,5,1,4,0,1,6,1,0.338134431,-1.359972678,0.519791667,1,1,0.953156823,1.032586558
8467,6,5.666666667,5,7,1,1,0,1,3,1,0.671467764,0.973360656,0.519791667,1,0,2.953156823,-1.967413442
8477,4.333333333,3.666666667,4,5,0,5,1,1,3,1,-0.995198903,-1.026639344,-0.480208333,1,0,0.953156823,-1.967413442
8478,5.333333333,6,4.5,5,0,6,1,0,2,0,0.004801097,1.306693989,0.019791667,1,0,0.953156823,-2.967413442
8482,6.333333333,6,5.875,3,1,5,1,0,1,0,1.004801097,1.306693989,1.394791667,0,0,-1.046843177,-3.967413442
8483,4.333333333,5.333333333,4.375,6,1,3,1,1,6,1,-0.995198903,0.640027322,-0.105208333,1,1,1.953156823,1.032586558
8486,5,4.333333333,4.125,1,0,5,1,0,7,1,-0.328532236,-0.359972678,-0.355208333,0,1,-3.046843177,2.032586558
8494,4.666666667,4.666666667,4.125,5,0,5,0,1,7,1,-0.661865569,-0.026639344,-0.355208333,1,1,0.953156823,2.032586558
8495,6.666666667,6.333333333,4.25,2,0,2,0,1,6,1,1.338134431,1.640027322,-0.230208333,0,1,-2.046843177,1.032586558
8499,5.333333333,3.333333333,4.5,6,1,7,1,1,7,1,0.004801097,-1.359972678,0.019791667,1,1,1.953156823,2.032586558
