lfdn,inv_app,inv_dl,inv_cat,y_pop,x_pop,comp_pop,man_check_pop,inv_app_mc,inv_dl_mc,inv_cat_mc
8041,5.333333333,5.666666667,6,4,1,1,1,0.004801097,0.973360656,1.519791667
8042,5,5.666666667,2.875,4,1,1,1,-0.328532236,0.973360656,-1.605208333
8043,4.666666667,2.333333333,4.125,6,0,0,0,-0.661865569,-2.359972678,-0.355208333
8044,5.333333333,3.333333333,4.625,6,1,0,1,0.004801097,-1.359972678,0.144791667
8045,5,5.666666667,4.375,4,0,0,1,-0.328532236,0.973360656,-0.105208333
8046,4.666666667,5.666666667,2.625,5,1,0,1,-0.661865569,0.973360656,-1.855208333
8047,4,6.666666667,3.875,1,0,0,1,-1.328532236,1.973360656,-0.605208333
8049,4.333333333,5.333333333,3.75,6,0,0,1,-0.995198903,0.640027322,-0.730208333
8050,5.666666667,4.333333333,3.5,4,1,1,0,0.338134431,-0.359972678,-0.980208333
8052,5.666666667,3,3,3,0,0,0,0.338134431,-1.693306011,-1.480208333
8055,5.333333333,5,4.625,5,0,0,0,0.004801097,0.306693989,0.144791667
8054,4.333333333,3.666666667,4.375,2,0,0,1,-0.995198903,-1.026639344,-0.105208333
8056,5.333333333,6.333333333,5.75,6,1,0,1,0.004801097,1.640027322,1.269791667
8057,4.666666667,6.333333333,3.125,2,0,1,1,-0.661865569,1.640027322,-1.355208333
8058,6,7,3.625,2,1,1,1,0.671467764,2.306693989,-0.855208333
8059,5.333333333,3.333333333,4.5,4,0,1,1,0.004801097,-1.359972678,0.019791667
8060,4.333333333,3.333333333,2.875,1,0,0,0,-0.995198903,-1.359972678,-1.605208333
8061,5.666666667,4.666666667,4.25,2,1,1,1,0.338134431,-0.026639344,-0.230208333
8062,4.666666667,3.666666667,4.5,5,0,0,1,-0.661865569,-1.026639344,0.019791667
8064,6,3.666666667,5.125,6,1,0,1,0.671467764,-1.026639344,0.644791667
8065,6.666666667,3,3.375,6,1,0,1,1.338134431,-1.693306011,-1.105208333
8066,5.666666667,5.333333333,5.375,4,1,0,1,0.338134431,0.640027322,0.894791667
8067,6.333333333,5,3.875,3,0,1,0,1.004801097,0.306693989,-0.605208333
8069,5.333333333,5.666666667,4,4,1,1,0,0.004801097,0.973360656,-0.480208333
8070,3.666666667,4.666666667,4.25,6,0,0,1,-1.661865569,-0.026639344,-0.230208333
8071,4.333333333,3.666666667,4,4,1,1,0,-0.995198903,-1.026639344,-0.480208333
8072,4,5,4.375,5,0,1,1,-1.328532236,0.306693989,-0.105208333
8073,6.333333333,3.333333333,4.625,5,0,1,0,1.004801097,-1.359972678,0.144791667
8074,2.333333333,3,6.125,2,1,1,0,-2.995198903,-1.693306011,1.644791667
8075,6,5,5.125,4,1,1,1,0.671467764,0.306693989,0.644791667
8076,5,4,3.5,4,1,0,0,-0.328532236,-0.693306011,-0.980208333
8077,6,6,4.75,7,0,0,1,0.671467764,1.306693989,0.269791667
8078,6,5,6.375,5,0,0,1,0.671467764,0.306693989,1.894791667
8080,6,5,5.375,1,1,0,1,0.671467764,0.306693989,0.894791667
8081,4.666666667,4,4.75,3,1,1,0,-0.661865569,-0.693306011,0.269791667
8083,6,1,4.5,7,1,1,1,0.671467764,-3.693306011,0.019791667
8084,6.333333333,6.333333333,3.75,1,0,1,1,1.004801097,1.640027322,-0.730208333
8085,6,5.333333333,4.125,7,0,0,1,0.671467764,0.640027322,-0.355208333
8086,6.333333333,5.666666667,5.625,5,1,1,1,1.004801097,0.973360656,1.144791667
8087,4.666666667,4,4.5,5,1,0,0,-0.661865569,-0.693306011,0.019791667
8088,6.333333333,6,4.125,3,1,1,0,1.004801097,1.306693989,-0.355208333
8089,4,4.333333333,6.375,6,0,1,0,-1.328532236,-0.359972678,1.894791667
8090,5.333333333,5.666666667,6,2,1,1,0,0.004801097,0.973360656,1.519791667
8091,4,3.333333333,5.125,5,1,1,1,-1.328532236,-1.359972678,0.644791667
8092,3,3.666666667,4.875,4,0,1,1,-2.328532236,-1.026639344,0.394791667
8093,5.666666667,4,5.125,7,1,0,1,0.338134431,-0.693306011,0.644791667
8094,3.333333333,4.666666667,6,5,1,0,1,-1.995198903,-0.026639344,1.519791667
8095,5,4.666666667,3,2,1,0,1,-0.328532236,-0.026639344,-1.480208333
8098,4.333333333,2,4.5,6,1,1,0,-0.995198903,-2.693306011,0.019791667
8096,5.333333333,5.333333333,2.625,3,1,0,1,0.004801097,0.640027322,-1.855208333
8097,4,4.333333333,4.75,5,0,1,1,-1.328532236,-0.359972678,0.269791667
8099,4.666666667,3.333333333,5.375,6,0,1,0,-0.661865569,-1.359972678,0.894791667
8100,6,3,5.25,6,0,1,1,0.671467764,-1.693306011,0.769791667
8101,4.333333333,2.666666667,5.25,3,1,1,0,-0.995198903,-2.026639344,0.769791667
8102,5,4.666666667,3.375,4,1,0,1,-0.328532236,-0.026639344,-1.105208333
8103,5.333333333,3.333333333,4.25,4,1,1,0,0.004801097,-1.359972678,-0.230208333
8104,6,5,4.5,3,1,0,1,0.671467764,0.306693989,0.019791667
8106,2.666666667,2,4.875,6,0,1,1,-2.661865569,-2.693306011,0.394791667
8107,5,4.666666667,3.75,5,1,1,0,-0.328532236,-0.026639344,-0.730208333
8108,4.666666667,5.666666667,5,5,0,1,1,-0.661865569,0.973360656,0.519791667
8109,5,5.666666667,5.125,3,1,1,1,-0.328532236,0.973360656,0.644791667
8110,5,4.666666667,5,4,0,1,0,-0.328532236,-0.026639344,0.519791667
8111,5.666666667,7,5.375,5,1,1,1,0.338134431,2.306693989,0.894791667
8113,6,5.666666667,5,5,1,1,1,0.671467764,0.973360656,0.519791667
8116,6,4.666666667,2.375,6,0,0,1,0.671467764,-0.026639344,-2.105208333
8114,5.333333333,6,3.875,5,1,1,1,0.004801097,1.306693989,-0.605208333
8115,4,2.333333333,3.625,5,1,0,1,-1.328532236,-2.359972678,-0.855208333
8117,4.666666667,4.333333333,1.375,2,0,0,1,-0.661865569,-0.359972678,-3.105208333
8118,5,3.333333333,4.125,2,0,1,1,-0.328532236,-1.359972678,-0.355208333
8119,4.333333333,5,6.75,5,0,1,0,-0.995198903,0.306693989,2.269791667
8120,6,4.666666667,5.75,6,0,0,0,0.671467764,-0.026639344,1.269791667
8121,4,6,5.875,3,0,1,1,-1.328532236,1.306693989,1.394791667
8123,5,4.666666667,3,4,1,1,0,-0.328532236,-0.026639344,-1.480208333
8124,4.666666667,4.666666667,4.125,6,1,1,1,-0.661865569,-0.026639344,-0.355208333
8125,5.333333333,3,4.875,7,1,0,0,0.004801097,-1.693306011,0.394791667
8126,7,4.333333333,2,6,1,1,1,1.671467764,-0.359972678,-2.480208333
8127,4,5,4.625,5,0,1,1,-1.328532236,0.306693989,0.144791667
8128,6.666666667,3.666666667,6.25,3,1,1,1,1.338134431,-1.026639344,1.769791667
8129,6.666666667,5.666666667,4,2,0,1,1,1.338134431,0.973360656,-0.480208333
8130,5.666666667,6,5.125,5,1,0,1,0.338134431,1.306693989,0.644791667
8131,6,5,3.375,3,1,1,1,0.671467764,0.306693989,-1.105208333
8132,5.666666667,4.333333333,3.25,5,0,1,0,0.338134431,-0.359972678,-1.230208333
8133,4.666666667,5.666666667,5.125,3,1,0,0,-0.661865569,0.973360656,0.644791667
8134,5.333333333,2,3.75,6,1,1,0,0.004801097,-2.693306011,-0.730208333
8136,5.333333333,4,4.875,2,0,1,0,0.004801097,-0.693306011,0.394791667
8137,5.333333333,6,2.75,4,0,1,1,0.004801097,1.306693989,-1.730208333
8138,5,4.666666667,5.25,4,0,1,1,-0.328532236,-0.026639344,0.769791667
8139,3.666666667,4,4.375,3,1,1,1,-1.661865569,-0.693306011,-0.105208333
8140,5.666666667,3.666666667,4,5,0,1,1,0.338134431,-1.026639344,-0.480208333
8141,4.333333333,5.333333333,5,4,1,0,0,-0.995198903,0.640027322,0.519791667
8142,2.333333333,3,2.75,5,0,0,0,-2.995198903,-1.693306011,-1.730208333
8143,4,3.666666667,4.125,4,0,1,0,-1.328532236,-1.026639344,-0.355208333
8145,6.333333333,4.666666667,5.125,5,1,1,1,1.004801097,-0.026639344,0.644791667
8146,5.666666667,4.666666667,5.375,5,1,0,1,0.338134431,-0.026639344,0.894791667
8147,7,5.333333333,2.25,1,0,1,1,1.671467764,0.640027322,-2.230208333
8148,4.333333333,4.333333333,3.75,3,0,1,0,-0.995198903,-0.359972678,-0.730208333
8149,5.328532236,5.333333333,1.75,4,0,1,0,6.03508E-11,0.640027322,-2.730208333
8151,5.328532236,6.666666667,1,4,1,0,1,6.03508E-11,1.973360656,-3.480208333
8150,6.333333333,4.333333333,5.875,5,1,0,0,1.004801097,-0.359972678,1.394791667
