lfdn,i,y_i,x_i,man_check_i,inv_app_mc,inv_dl_mc,inv_cat_mc,n,y_i_mc,i_name,n_name,x_i_name
8006,1,4,0,1,-2.328532236,1.306693989,0.769791667,2,-0.046843177,rep,second,low
8006,2,4,0,0,-2.328532236,1.306693989,0.769791667,3,-0.525458248,pop,third,low
8006,3,4,1,0,-2.328532236,1.306693989,0.769791667,1,-0.967413442,brand,first,high
8007,1,4,1,0,-0.995198903,0.640027322,-0.105208333,3,-0.046843177,rep,third,high
8007,2,7,1,0,-0.995198903,0.640027322,-0.105208333,1,2.474541752,pop,first,high
8007,3,5,0,1,-0.995198903,0.640027322,-0.105208333,2,0.032586558,brand,second,low
8008,1,6,0,0,1.338134431,2.306693989,-1.980208333,1,1.953156823,rep,first,low
8008,2,6,0,0,1.338134431,2.306693989,-1.980208333,2,1.474541752,pop,second,low
8008,3,2,0,0,1.338134431,2.306693989,-1.980208333,3,-2.967413442,brand,third,low
8010,1,4,1,0,-0.661865569,-1.359972678,-0.480208333,1,-0.046843177,rep,first,high
8010,2,5,1,1,-0.661865569,-1.359972678,-0.480208333,2,0.474541752,pop,second,high
8010,3,3,0,0,-0.661865569,-1.359972678,-0.480208333,3,-1.967413442,brand,third,low
8011,1,7,1,1,-0.328532236,2.306693989,-1.230208333,2,2.953156823,rep,second,high
8011,2,7,1,0,-0.328532236,2.306693989,-1.230208333,1,2.474541752,pop,first,high
8011,3,7,0,0,-0.328532236,2.306693989,-1.230208333,3,2.032586558,brand,third,low
8012,1,7,0,0,-0.328532236,2.306693989,-1.230208333,2,2.953156823,rep,second,low
8012,2,7,1,0,-0.328532236,2.306693989,-1.230208333,1,2.474541752,pop,first,high
8012,3,7,0,1,-0.328532236,2.306693989,-1.230208333,3,2.032586558,brand,third,low
8013,1,7,0,0,-0.328532236,2.306693989,-1.230208333,3,2.953156823,rep,third,low
8013,2,7,0,1,-0.328532236,2.306693989,-1.230208333,2,2.474541752,pop,second,low
8013,3,7,0,1,-0.328532236,2.306693989,-1.230208333,1,2.032586558,brand,first,low
8014,1,4,0,1,0.004801097,-1.026639344,-0.355208333,3,-0.046843177,rep,third,low
8014,2,4,1,1,0.004801097,-1.026639344,-0.355208333,1,-0.525458248,pop,first,high
8014,3,4,1,1,0.004801097,-1.026639344,-0.355208333,2,-0.967413442,brand,second,high
8015,1,5,0,1,-1.661865569,0.640027322,-1.230208333,3,0.953156823,rep,third,low
8015,2,4,1,1,-1.661865569,0.640027322,-1.230208333,2,-0.525458248,pop,second,high
8015,3,4,0,0,-1.661865569,0.640027322,-1.230208333,1,-0.967413442,brand,first,low
8016,1,4,0,1,-0.661865569,-0.359972678,-1.230208333,1,-0.046843177,rep,first,low
8016,2,4,0,1,-0.661865569,-0.359972678,-1.230208333,2,-0.525458248,pop,second,low
8016,3,4,0,1,-0.661865569,-0.359972678,-1.230208333,3,-0.967413442,brand,third,low
8017,1,6,0,0,0.004801097,0.640027322,0.394791667,1,1.953156823,rep,first,low
8017,2,3,1,1,0.004801097,0.640027322,0.394791667,3,-1.525458248,pop,third,high
8017,3,5,1,0,0.004801097,0.640027322,0.394791667,2,0.032586558,brand,second,high
8018,1,3,0,1,-0.328532236,-0.026639344,0.144791667,3,-1.046843177,rep,third,low
8018,2,4,0,1,-0.328532236,-0.026639344,0.144791667,2,-0.525458248,pop,second,low
8018,3,6,1,0,-0.328532236,-0.026639344,0.144791667,1,1.032586558,brand,first,high
8019,1,5,0,1,0.338134431,-0.693306011,0.394791667,1,0.953156823,rep,first,low
8019,2,6,0,0,0.338134431,-0.693306011,0.394791667,3,1.474541752,pop,third,low
8019,3,5,0,0,0.338134431,-0.693306011,0.394791667,2,0.032586558,brand,second,low
8020,1,5,0,1,1.338134431,-1.359972678,1.019791667,3,0.953156823,rep,third,low
8020,2,7,1,0,1.338134431,-1.359972678,1.019791667,2,2.474541752,pop,second,high
8020,3,7,1,1,1.338134431,-1.359972678,1.019791667,1,2.032586558,brand,first,high
8021,1,5,0,1,0.671467764,0.973360656,0.144791667,3,0.953156823,rep,third,low
8021,2,6,0,1,0.671467764,0.973360656,0.144791667,1,1.474541752,pop,first,low
8021,3,5,0,0,0.671467764,0.973360656,0.144791667,2,0.032586558,brand,second,low
8023,1,6,1,1,0.004801097,-0.693306011,-0.105208333,2,1.953156823,rep,second,high
8023,2,6,0,1,0.004801097,-0.693306011,-0.105208333,1,1.474541752,pop,first,low
8023,3,6,1,0,0.004801097,-0.693306011,-0.105208333,3,1.032586558,brand,third,high
8024,1,2,0,0,0.338134431,-1.693306011,0.144791667,3,-2.046843177,rep,third,low
8024,2,2,0,0,0.338134431,-1.693306011,0.144791667,2,-2.525458248,pop,second,low
8024,3,4,0,0,0.338134431,-1.693306011,0.144791667,1,-0.967413442,brand,first,low
8026,1,3,1,1,1.338134431,-2.693306011,-1.355208333,2,-1.046843177,rep,second,high
8026,2,1,0,1,1.338134431,-2.693306011,-1.355208333,3,-3.525458248,pop,third,low
8026,3,7,1,1,1.338134431,-2.693306011,-1.355208333,1,2.032586558,brand,first,high
8027,1,6,1,1,1.004801097,-1.359972678,-0.355208333,1,1.953156823,rep,first,high
8027,2,2,0,1,1.004801097,-1.359972678,-0.355208333,3,-2.525458248,pop,third,low
8027,3,2,0,1,1.004801097,-1.359972678,-0.355208333,2,-2.967413442,brand,second,low
8028,1,3,1,1,0.671467764,-1.026639344,-0.605208333,2,-1.046843177,rep,second,high
8028,2,7,1,1,0.671467764,-1.026639344,-0.605208333,3,2.474541752,pop,third,high
8028,3,6,1,1,0.671467764,-1.026639344,-0.605208333,1,1.032586558,brand,first,high
8029,1,4,1,0,-0.328532236,1.306693989,-0.480208333,2,-0.046843177,rep,second,high
8029,2,4,0,0,-0.328532236,1.306693989,-0.480208333,1,-0.525458248,pop,first,low
8029,3,4,1,0,-0.328532236,1.306693989,-0.480208333,3,-0.967413442,brand,third,high
8030,1,7,1,1,0.338134431,0.640027322,0.019791667,2,2.953156823,rep,second,high
8030,2,5,1,1,0.338134431,0.640027322,0.019791667,1,0.474541752,pop,first,high
8030,3,6,1,0,0.338134431,0.640027322,0.019791667,3,1.032586558,brand,third,high
8031,1,4,1,1,-0.661865569,-0.359972678,0.394791667,3,-0.046843177,rep,third,high
8031,2,7,0,1,-0.661865569,-0.359972678,0.394791667,2,2.474541752,pop,second,low
8031,3,5,0,0,-0.661865569,-0.359972678,0.394791667,1,0.032586558,brand,first,low
8032,1,3,0,1,-0.661865569,1.306693989,-0.480208333,3,-1.046843177,rep,third,low
8032,2,5,1,1,-0.661865569,1.306693989,-0.480208333,1,0.474541752,pop,first,high
8032,3,7,1,1,-0.661865569,1.306693989,-0.480208333,2,2.032586558,brand,second,high
8033,1,7,1,1,0.671467764,-0.693306011,-1.355208333,3,2.953156823,rep,third,high
8033,2,6,1,0,0.671467764,-0.693306011,-1.355208333,1,1.474541752,pop,first,high
8033,3,6,0,0,0.671467764,-0.693306011,-1.355208333,2,1.032586558,brand,second,low
8034,1,3,1,1,1.004801097,0.306693989,-1.855208333,3,-1.046843177,rep,third,high
8034,2,3,0,1,1.004801097,0.306693989,-1.855208333,1,-1.525458248,pop,first,low
8034,3,6,1,1,1.004801097,0.306693989,-1.855208333,2,1.032586558,brand,second,high
8036,1,6,1,1,0.671467764,-0.359972678,0.144791667,3,1.953156823,rep,third,high
8036,2,6,1,1,0.671467764,-0.359972678,0.144791667,2,1.474541752,pop,second,high
8036,3,6,1,1,0.671467764,-0.359972678,0.144791667,1,1.032586558,brand,first,high
8037,1,5,1,1,-0.995198903,-0.693306011,0.144791667,1,0.953156823,rep,first,high
8037,2,4,0,1,-0.995198903,-0.693306011,0.144791667,3,-0.525458248,pop,third,low
8037,3,6,1,1,-0.995198903,-0.693306011,0.144791667,2,1.032586558,brand,second,high
